wikidata_iri,name,depth,wikipedia_page_id,wikipedia_url
wd:Q11660,Artificial intelligence,3,1164,https://en.wikipedia.org/?curid=1164
wd:Q192776,Artificial neural network,4,21523,https://en.wikipedia.org/?curid=21523
wd:Q873442,Asset management,4,6570919,https://en.wikipedia.org/?curid=6570919
wd:Q411,Astrobiology,3,2787,https://en.wikipedia.org/?curid=2787
wd:Q11680018,Astrochemistry,3,71268,https://en.wikipedia.org/?curid=71268
wd:Q181505,Astrometry,4,1181,https://en.wikipedia.org/?curid=1181
wd:Q333,Astronomy,2,50650,https://en.wikipedia.org/?curid=50650
wd:Q280855,Astrophotography,3,143115,https://en.wikipedia.org/?curid=143115
wd:Q987046,Astrophysical plasma,4,2254029,https://en.wikipedia.org/?curid=2254029
wd:Q37547,Astrophysics,3,361897,https://en.wikipedia.org/?curid=361897
wd:Q8104,Atmosphere,4,202899,https://en.wikipedia.org/?curid=202899
wd:Q287919,Atmospheric chemistry,4,706999,https://en.wikipedia.org/?curid=706999
wd:Q4817113,Atmospheric methane,4,23092516,https://en.wikipedia.org/?curid=23092516
wd:Q1367365,Atmospheric optics,4,28779877,https://en.wikipedia.org/?curid=28779877
wd:Q5334416,Atmospheric physics,4,801420,https://en.wikipedia.org/?curid=801420
wd:Q757520,Atmospheric science,3,164633,https://en.wikipedia.org/?curid=164633
wd:Q26383,Atomic physics,3,1200,https://en.wikipedia.org/?curid=1200
wd:Q295287,Attention economy,4,3260249,https://en.wikipedia.org/?curid=3260249
wd:Q128124,Audio engineer,4,21189305,https://en.wikipedia.org/?curid=21189305
wd:Q2719318,Audio signal processing,4,2322,https://en.wikipedia.org/?curid=2322
wd:Q181487,Audit,4,224700,https://en.wikipedia.org/?curid=224700
wd:Q203411,Austrian school of economics,4,1030,https://en.wikipedia.org/?curid=1030
wd:Q212108,Authentication,4,47967,https://en.wikipedia.org/?curid=47967
wd:Q6229,Authoritarianism,4,21347657,https://en.wikipedia.org/?curid=21347657
wd:Q174834,Authority,4,170653,https://en.wikipedia.org/?curid=170653
wd:Q214526,Automata theory,4,103356,https://en.wikipedia.org/?curid=103356
wd:Q2631895,Automated planning and scheduling,4,1505641,https://en.wikipedia.org/?curid=1505641
wd:Q431667,Automated theorem proving,4,2546,https://en.wikipedia.org/?curid=2546
wd:Q124192,Automotive engineering,3,351882,https://en.wikipedia.org/?curid=351882
wd:Q2916098,Autonomous robot,4,48049,https://en.wikipedia.org/?curid=48049
wd:Q765633,Aviation,4,58422,https://en.wikipedia.org/?curid=58422
wd:Q640853,Aviation safety,4,682931,https://en.wikipedia.org/?curid=682931
wd:Q243748,Bacteriology,4,58475,https://en.wikipedia.org/?curid=58475
wd:Q184631,Ballistics,4,212094,https://en.wikipedia.org/?curid=212094
wd:Q4867047,Basic science (psychology),3,22403616,https://en.wikipedia.org/?curid=22403616
wd:Q812535,Bayesian inference,4,49571,https://en.wikipedia.org/?curid=49571
wd:Q812534,Bayesian probability,4,4890,https://en.wikipedia.org/?curid=4890
wd:Q4874481,Bayesian statistics,4,404412,https://en.wikipedia.org/?curid=404412
wd:Q7242,Beauty,4,4431,https://en.wikipedia.org/?curid=4431
wd:Q176353,Beekeeping,4,322091,https://en.wikipedia.org/?curid=322091
wd:Q647525,Behavioral economics,4,177698,https://en.wikipedia.org/?curid=177698
wd:Q846566,Behavioral neuroscience,4,605477,https://en.wikipedia.org/?curid=605477
wd:Q168338,Behaviorism,4,540801,https://en.wikipedia.org/?curid=540801
wd:Q1204375,Behavioural genetics,4,24235330,https://en.wikipedia.org/?curid=24235330
wd:Q34394,Belief,4,102883,https://en.wikipedia.org/?curid=102883
wd:Q815821,Belle experiment,4,2832569,https://en.wikipedia.org/?curid=2832569
wd:Q2487696,Biochemical engineering,4,616670,https://en.wikipedia.org/?curid=616670
wd:Q7094,Biochemistry,3,3954,https://en.wikipedia.org/?curid=3954
wd:Q47041,Biodiversity,4,45086,https://en.wikipedia.org/?curid=45086
wd:Q52106,Biogeography,4,99358,https://en.wikipedia.org/?curid=99358
wd:Q128570,Bioinformatics,4,4214,https://en.wikipedia.org/?curid=4214
wd:Q803925,Bioinorganic chemistry,4,1131060,https://en.wikipedia.org/?curid=1131060
wd:Q27172,Biological anthropology,3,24232,https://en.wikipedia.org/?curid=24232
wd:Q580689,Biological engineering,2,6074674,https://en.wikipedia.org/?curid=6074674
wd:Q864360,Biological hazard,3,77060,https://en.wikipedia.org/?curid=77060
wd:Q1587185,Biological membrane,4,4817,https://en.wikipedia.org/?curid=4817
wd:Q18378619,Biological oceanography,4,6456388,https://en.wikipedia.org/?curid=6456388
wd:Q864858,Biological systems engineering,3,9579270,https://en.wikipedia.org/?curid=9579270
wd:Q420,Biology,2,9127632,https://en.wikipedia.org/?curid=9127632
wd:Q865663,Biomaterial,4,6259941,https://en.wikipedia.org/?curid=6259941
wd:Q4915094,Biomechanical engineering,3,14063216,https://en.wikipedia.org/?curid=14063216
wd:Q193378,Biomechanics,4,105355,https://en.wikipedia.org/?curid=105355
wd:Q327092,Biomedical engineering,3,4827,https://en.wikipedia.org/?curid=4827
wd:Q1145644,Biomimetics,4,45784,https://en.wikipedia.org/?curid=45784
wd:Q4915151,Biomolecular engineering,4,11344743,https://en.wikipedia.org/?curid=11344743
wd:Q189131,Bionics,4,946929,https://en.wikipedia.org/?curid=946929
wd:Q864640,Bioorganic chemistry,4,6761001,https://en.wikipedia.org/?curid=6761001
wd:Q864661,Biophysical chemistry,4,24568072,https://en.wikipedia.org/?curid=24568072
wd:Q7100,Biophysics,3,54000,https://en.wikipedia.org/?curid=54000
wd:Q864734,Bioprocess engineering,3,9580771,https://en.wikipedia.org/?curid=9580771
wd:Q3657270,Biorobotics,4,1006293,https://en.wikipedia.org/?curid=1006293
wd:Q42762,Biosphere,4,4816,https://en.wikipedia.org/?curid=4816
wd:Q7108,Biotechnology,3,4502,https://en.wikipedia.org/?curid=4502
wd:Q869010,Blended learning,4,584757,https://en.wikipedia.org/?curid=584757
wd:Q20514253,Blockchain,4,44065971,https://en.wikipedia.org/?curid=44065971
wd:Q7873,Blood,4,3997,https://en.wikipedia.org/?curid=3997
wd:Q173183,Boolean algebra,4,54476844,https://en.wikipedia.org/?curid=54476844
wd:Q11761,Bronze Age,4,4620,https://en.wikipedia.org/?curid=4620
wd:Q994776,Brutalist architecture,4,424948,https://en.wikipedia.org/?curid=424948
wd:Q206615,Building material,4,464779,https://en.wikipedia.org/?curid=464779
wd:Q4830453,Business,2,39206,https://en.wikipedia.org/?curid=39206
wd:Q2043282,Business administration,3,58886,https://en.wikipedia.org/?curid=58886
wd:Q4115749,Business communication,3,2392115,https://en.wikipedia.org/?curid=2392115
wd:Q7007379,Business process management,4,22860272,https://en.wikipedia.org/?curid=22860272
wd:Q149972,Calculus,4,5176,https://en.wikipedia.org/?curid=5176
wd:Q634314,Calorimetry,4,7522,https://en.wikipedia.org/?curid=7522
wd:Q12078,Cancer,4,105219,https://en.wikipedia.org/?curid=105219
wd:Q11358,Carbohydrate,4,5932,https://en.wikipedia.org/?curid=5932
wd:Q134856,Carboxylic acid,4,6099,https://en.wikipedia.org/?curid=6099
wd:Q142714,Card game,4,5360,https://en.wikipedia.org/?curid=5360
wd:Q5038319,Cardiac imaging,4,32154817,https://en.wikipedia.org/?curid=32154817
wd:Q10379,Cardiology,3,5421,https://en.wikipedia.org/?curid=5421
wd:Q389735,Cardiovascular disease,4,512662,https://en.wikipedia.org/?curid=512662
wd:Q42515,Cartography,4,7294,https://en.wikipedia.org/?curid=7294
wd:Q496098,Casting,4,21501000,https://en.wikipedia.org/?curid=21501000
wd:Q82264,Catalysis,4,5914,https://en.wikipedia.org/?curid=5914
wd:Q5051813,Categorical logic,4,1063799,https://en.wikipedia.org/?curid=1063799
wd:Q217413,Category theory,4,5869,https://en.wikipedia.org/?curid=5869
wd:Q179289,Causality,4,37196,https://en.wikipedia.org/?curid=37196
wd:Q184274,Celestial mechanics,4,102182,https://en.wikipedia.org/?curid=102182
wd:Q7868,Cell (biology),4,4230,https://en.wikipedia.org/?curid=4230
wd:Q7141,Cell biology,3,6339,https://en.wikipedia.org/?curid=6339
wd:Q188941,Cell cycle,4,7252,https://en.wikipedia.org/?curid=7252
wd:Q2383867,Cell death,4,1067082,https://en.wikipedia.org/?curid=1067082
wd:Q189159,Cell growth,4,564779,https://en.wikipedia.org/?curid=564779
wd:Q3087369,Cell physiology,4,6227883,https://en.wikipedia.org/?curid=6227883
wd:Q210973,Cell signaling,4,4109042,https://en.wikipedia.org/?curid=4109042
wd:Q189156,Cellular automaton,4,54342,https://en.wikipedia.org/?curid=54342
wd:Q535695,Cellular network,4,735672,https://en.wikipedia.org/?curid=735672
wd:Q5058372,Cellular neuroscience,4,20848680,https://en.wikipedia.org/?curid=20848680
wd:Q543,Censorship,4,17253537,https://en.wikipedia.org/?curid=17253537
wd:Q1967135,Centrifugation,4,286021,https://en.wikipedia.org/?curid=286021
wd:Q5063652,Ceramic chemistry,4,18555533,https://en.wikipedia.org/?curid=18555533
wd:Q1936199,Ceramic engineering,4,4480666,https://en.wikipedia.org/?curid=4480666
wd:Q116348,Change management,4,14599027,https://en.wikipedia.org/?curid=14599027
wd:Q870845,Channel capacity,4,231204,https://en.wikipedia.org/?curid=231204
wd:Q166314,Chaos theory,4,6295,https://en.wikipedia.org/?curid=6295
wd:Q184759,Character encoding,4,5295,https://en.wikipedia.org/?curid=5295
wd:Q1062971,Characteristic equation (calculus),4,31050469,https://en.wikipedia.org/?curid=31050469
wd:Q2165586,Characterization (materials science),4,4932763,https://en.wikipedia.org/?curid=4932763
wd:Q870780,Chatbot,4,148349,https://en.wikipedia.org/?curid=148349
wd:Q584829,Chemical clock,4,2908847,https://en.wikipedia.org/?curid=2908847
wd:Q83588,Chemical engineering,2,6038,https://en.wikipedia.org/?curid=6038
wd:Q209082,Chemical kinetics,4,359135,https://en.wikipedia.org/?curid=359135
wd:Q2001702,Chemical physics,4,733929,https://en.wikipedia.org/?curid=733929
wd:Q36534,Chemical reaction,3,6271,https://en.wikipedia.org/?curid=6271
wd:Q2667887,Chemical reaction engineering,3,25034192,https://en.wikipedia.org/?curid=25034192
wd:Q557573,Chemical reactor,4,1162781,https://en.wikipedia.org/?curid=1162781
